timestamp,close,volume,volatility,avg_volume,trend,volatility_category,avg_volume_category
2024-01-08,3.414,39072803.25,6.62061778884217,41375049.78857143,Upward,High,High
2024-01-09,3.641,43504865.25,6.9130031062712165,42667678.017142855,Upward,High,High
2024-01-10,3.932,67747375.86,6.863973707812537,41049013.470000006,Upward,High,High
2024-01-11,3.966,50379553.87,6.516761581902284,41183379.982857145,Upward,High,High
2024-01-12,3.913,68840327.61,5.558483235932709,45640581.29,Downward,High,High
2024-01-13,3.805,23614257.91,4.770099937667632,45304538.4,Downward,Medium,High
2024-01-14,3.479,16182760.49,6.253035253906101,44191706.32,Downward,High,High
2024-01-15,3.452,23153869.9,5.651495101803518,41917572.98428571,Downward,High,High
2024-01-16,3.602,19183478.65,5.274297858822465,38443089.18428572,Upward,Medium,High
2024-01-17,3.457,17694259.44,4.037077306468459,31292643.981428567,Downward,Low,High
2024-01-18,3.215,20055257.52,4.275262268204065,26960601.645714287,Downward,Medium,High
2024-01-19,3.204,29285962.05,4.350722152516244,21309977.994285718,Downward,Medium,Medium
2024-01-20,3.196,12663877.65,4.450379968764443,19745637.957142856,Downward,Medium,Medium
2024-01-21,3.119,9069229.15,3.5367974126530566,18729419.194285717,Downward,Low,Medium
2024-01-22,2.981,25259437.24,3.679328895019212,19030214.52857143,Downward,Low,Medium
2024-01-23,2.821,45321676.91,2.534094077932059,22764242.85142857,Downward,Low,High
2024-01-24,2.857,16222234.28,3.055535961195838,22553953.542857144,Upward,Low,Medium
2024-01-25,2.937,16449789.1,2.971626384323295,22038886.625714283,Upward,Low,Medium
2024-01-26,3.069,23484536.41,3.6916410978304657,21210111.53428572,Upward,Low,Medium
2024-01-27,3.068,9523296.35,3.69553672288508,20761457.062857144,Downward,Low,Medium
2024-01-28,3.029,14931325.67,3.6230597195756538,21598899.42285714,Downward,Low,Medium
2024-01-29,3.168,16130697.18,3.538789501385901,20294793.7,Upward,Low,Medium
2024-01-30,3.157,26265974.64,2.364449722736238,17572550.51857143,Downward,Low,Medium
2024-01-31,2.901,21441170.8,4.395974817590503,18318112.87857143,Downward,Medium,Medium
2024-02-01,2.976,13032832.52,4.376345240790414,17829976.224285714,Upward,Medium,Medium
2024-02-02,3.015,8843271.6,4.01498112271982,15738366.965714283,Upward,Low,Medium
2024-02-03,2.961,5195871.84,4.058834084916429,15120163.464285716,Downward,Low,Medium
2024-02-04,2.994,7743935.69,4.076880097114991,14093393.467142856,Upward,Medium,Low
2024-02-05,3.097,12259252.97,3.875153911770563,13540330.00857143,Upward,Low,Low
2024-02-06,3.325,34804738.06,4.824350504825272,14760153.354285715,Upward,Medium,Medium
2024-02-07,3.363,25924719.16,2.808916995326185,15400660.262857145,Upward,Low,Medium
2024-02-08,3.302,16592963.67,3.168640881058069,15909250.427142857,Downward,Low,Medium
2024-02-09,3.46,18621608.85,3.3913890639335205,17306155.74857143,Upward,Low,Medium
2024-02-10,3.366,9097523.0,3.578312018058854,17863534.485714287,Downward,Low,Medium
2024-02-11,3.535,13282609.39,3.736149022838193,18654773.585714284,Upward,Low,Medium
2024-02-12,3.816,22002700.28,4.282085386704653,20046694.63,Upward,Medium,Medium
2024-02-13,3.73,16929332.91,4.23056678851383,17493065.322857145,Downward,Medium,Medium
2024-02-14,3.82,15064243.98,4.228397725353358,15941568.86857143,Upward,Medium,Medium
2024-02-15,3.858,20100040.9,3.9393092116903703,16442579.901428573,Upward,Low,Medium
2024-02-16,3.641,14981082.74,4.735116619141646,15922504.742857143,Downward,Medium,Medium
2024-02-17,3.579,11030230.36,4.622856254530068,16198605.794285713,Downward,Medium,Medium
2024-02-18,3.793,10446656.08,4.77451893336432,15793469.607142856,Upward,Medium,Medium
2024-02-19,3.96,20133014.29,4.062719357029603,15526371.608571429,Upward,Low,Medium
2024-02-20,4.066,44572869.9,3.9097904638112952,19475448.32142857,Upward,Low,Medium
2024-02-21,3.763,29088066.57,5.054474615468546,21478851.54857143,Downward,Medium,Medium
2024-02-22,3.64,20612413.52,5.155903722753449,21552047.63714286,Downward,Medium,Medium
2024-02-23,3.508,16167083.13,4.886917923245338,21721476.264285717,Downward,Medium,Medium
2024-02-24,3.669,12739766.16,5.182932907881094,21965695.66428572,Upward,Medium,Medium
2024-02-25,3.881,11897239.9,5.1477397318914,22172921.924285717,Upward,Medium,Medium
2024-02-26,3.824,16654512.13,4.8655790480035765,21675993.044285715,Downward,Medium,Medium
2024-02-27,3.705,18913175.1,4.746780823262586,18010322.35857143,Downward,Medium,Medium
2024-02-28,3.767,29508442.9,3.934485940839351,18070376.12,Upward,Low,Medium
2024-02-29,3.7,31043410.31,3.759486181119804,19560518.51857143,Downward,Low,Medium
2024-03-01,3.757,13535925.85,3.346063113901184,19184638.90714285,Upward,Low,Medium
2024-03-02,3.988,20153217.0,3.659536915995812,20243703.312857144,Upward,Low,Medium
2024-03-03,3.988,40499006.79,3.0739218598538107,24329670.01142857,Stable,Low,High
2024-03-04,3.909,24121182.17,3.132174662834587,25396337.16,Downward,Low,High
2024-03-05,4.514,97067063.33,6.1390159852753055,36561178.33571429,Upward,High,High
2024-03-06,4.545,53247934.43,6.186004085976015,39952534.26857143,Upward,High,High
2024-03-07,4.661,29258599.28,5.85103515132363,39697561.264285706,Upward,High,High
2024-03-08,4.484,24657412.27,6.463165635710428,41286345.03857143,Downward,High,High
2024-03-09,4.697,16723326.48,6.360571828769269,40796360.67857143,Upward,High,High
2024-03-10,4.537,19054687.12,6.706991054751099,37732886.440000005,Downward,High,High
2024-03-11,4.583,36010694.25,6.500060760489146,39431388.16571428,Upward,High,High
2024-03-12,4.361,41593230.03,3.622673929089173,31506554.83714286,Downward,Low,High
2024-03-13,4.416,21697627.79,3.658645386658823,26999368.174285717,Upward,Low,High
2024-03-14,4.204,30688669.98,3.7401756243910143,27203663.988571428,Downward,Low,High
2024-03-15,3.819,35595742.11,4.729881169202556,28766282.53714285,Downward,Medium,High
2024-03-16,3.554,27305586.82,3.864053654550432,30278034.014285717,Downward,Low,High
2024-03-17,3.583,21604658.89,4.252847154757284,30642315.695714284,Upward,Medium,High
2024-03-18,3.302,26280034.8,4.092220802322825,29252221.48857143,Downward,Medium,High
2024-03-19,3.442,51203494.77,5.24364209392727,30625116.45142857,Upward,Medium,High
2024-03-20,3.55,61065467.31,5.549002301410956,36249093.525714286,Upward,High,High
2024-03-21,3.427,26352049.48,5.49687783638331,35629576.31142857,Downward,High,High
2024-03-22,3.426,37854491.19,4.754434098625755,35952254.75142857,Downward,Medium,High
2024-03-23,3.428,16335948.45,4.095594766736989,34385163.55571429,Upward,Medium,High
2024-03-24,3.706,27351481.66,5.237253250111578,35206138.23714286,Upward,Medium,High
2024-03-25,3.858,25284155.74,3.767068286938624,35063869.8,Upward,Low,High
2024-03-26,3.914,21607086.62,3.674990317926581,30835811.49285714,Upward,Low,High
2024-03-27,3.671,24727828.96,4.707142329432188,25644720.3,Downward,Medium,High
2024-03-28,3.725,14338226.26,4.3580346145690285,23928459.84,Upward,Medium,High
2024-03-29,3.617,10066038.99,4.628286159823854,19958680.954285715,Downward,Medium,Medium
2024-03-30,3.656,11800868.38,4.614540838762384,19310812.372857142,Upward,Medium,Medium
2024-03-31,3.689,7574611.51,3.416135259642254,16485545.20857143,Upward,Low,Medium
2024-04-01,3.496,16014729.62,3.3628016059120496,15161341.477142856,Downward,Low,Medium
2024-04-02,3.156,28353010.31,4.3271854902106766,16125044.861428572,Downward,Medium,Medium
2024-04-03,3.052,19158118.24,4.094827601347768,15329371.90142857,Downward,Medium,Medium
2024-04-04,3.105,15300583.68,4.139052139643793,15466851.532857144,Upward,Medium,Medium
2024-04-05,2.873,20253294.68,4.554283056137605,16922173.774285715,Downward,Medium,Medium
2024-04-06,2.993,14289568.7,5.1452798151541,17277702.39142857,Upward,Medium,Medium
2024-04-07,3.196,14377356.45,6.20291770285845,18249523.097142857,Upward,High,Medium
2024-04-08,3.365,23401340.11,6.516601454086153,19304753.167142857,Upward,High,Medium
2024-04-09,3.044,22130080.49,6.472264474422032,18415763.192857143,Downward,High,Medium
2024-04-10,3.036,19370054.41,6.341004582735356,18446039.78857143,Downward,High,Medium
2024-04-11,2.939,16019945.51,6.4027084204328775,18548805.764285717,Downward,High,Medium
2024-04-12,2.448,44956206.9,8.620915165584277,22077793.224285714,Downward,High,Medium
2024-04-13,2.117,70237662.15,9.115097231007104,30070378.002857145,Downward,High,High
2024-04-14,2.33,42077406.08,9.84369769323845,34027527.95,Upward,High,High
2024-04-15,2.267,38633599.17,9.01818741392556,36203564.95857143,Downward,High,High
2024-04-16,2.243,27895533.52,8.894953037603855,37027201.10571429,Downward,High,High
2024-04-17,2.165,18476380.24,8.757042286784252,36899533.367142856,Downward,High,High
2024-04-18,2.225,13265572.5,9.171213264639338,36506051.50857143,Upward,High,High
2024-04-19,2.232,25398414.15,7.118968693181775,33712081.11571429,Upward,High,High
2024-04-20,2.505,18218334.16,6.220085392887861,26280748.545714285,Upward,High,High
2024-04-21,2.445,11961481.78,5.462459833201734,21978473.645714287,Downward,High,Medium
2024-04-22,2.549,19701436.59,5.347942886301616,19273878.991428573,Upward,Medium,Medium
2024-04-23,2.491,13678551.07,5.474822269945207,17242881.49857143,Downward,High,Medium
2024-04-24,2.422,20706393.75,5.370309630397385,17561454.85714286,Downward,Medium,Medium
2024-04-25,2.418,14052961.64,5.390323894650945,17673939.02,Downward,High,Medium
2024-04-26,2.333,13543660.94,5.69439319434047,15980402.847142858,Downward,High,Medium
2024-04-27,2.626,28012700.08,5.804655056592669,17379597.978571426,Upward,High,Medium
2024-04-28,2.634,33824260.55,5.6434069472191775,20502852.08857143,Upward,High,Medium
2024-04-29,2.495,26877444.72,5.926175415010666,21527996.10714286,Downward,High,Medium
2024-04-30,2.537,26799688.07,5.879675470386187,23402444.25,Upward,High,High
2024-05-01,2.797,62694531.48,6.7092143162823055,29400749.64,Upward,High,High
2024-05-02,2.873,33021440.03,6.623287192615901,32110532.26714285,Upward,High,High
2024-05-03,2.858,24869246.14,6.242777002857522,33728473.01,Downward,High,High
2024-05-04,2.88,20303854.17,4.654418913627564,32627209.308571428,Upward,Medium,High
2024-05-05,2.901,15676999.11,4.640242752276662,30034743.38857143,Upward,Medium,High
2024-05-06,2.768,14905283.76,4.476709072208795,28324434.68,Downward,Medium,High
2024-05-07,2.666,14004264.96,4.8957256549838455,26496517.092857145,Downward,Medium,High
2024-05-08,2.58,12141817.21,2.741323420247106,19274700.768571436,Downward,Low,Medium
2024-05-09,2.653,7710008.93,2.767677063669278,15658782.040000005,Upward,Low,Medium
2024-05-10,2.519,10381008.71,3.117687588012719,13589033.835714286,Downward,Low,Low
2024-05-11,2.535,5949895.81,3.0999546912078144,11538468.355714288,Upward,Low,Low
2024-05-12,2.523,3816689.09,2.969287896033919,9844138.352857145,Downward,Low,Low
2024-05-13,2.495,10775718.39,2.73390779024593,9254200.442857144,Downward,Low,Low
2024-05-14,2.395,8676961.02,2.780449470911797,8493157.022857143,Downward,Low,Low
2024-05-15,2.484,24849369.45,3.2541837307231205,10308521.62857143,Upward,Low,Low
2024-05-16,2.368,14946149.36,3.2116825364982717,11342255.975714285,Downward,Low,Low
2024-05-17,2.568,21392627.23,4.545246012362289,12915344.335714284,Upward,Medium,Low
2024-05-18,2.548,9482526.06,4.562485475066612,13420005.8,Downward,Medium,Low
2024-05-19,2.452,7706890.78,4.802337644443331,13975748.89857143,Downward,Medium,Low
2024-05-20,2.907,28709342.53,8.548226114394444,16537695.204285717,Upward,High,Medium
2024-05-21,2.831,40903169.04,8.386105361908767,21141439.207142856,Downward,High,Medium
2024-05-22,2.668,37659333.09,8.940592486389066,22971434.012857143,Downward,High,High
2024-05-23,2.623,75175661.3,8.673204705219637,31575650.00428571,Downward,High,High
2024-05-24,2.522,29652132.84,8.334600426687079,32755579.37714285,Downward,High,High
2024-05-25,2.551,20057043.09,8.335888755676441,34266224.66714285,Upward,High,High
2024-05-26,2.53,19318558.63,8.169648796660718,35925034.36,Downward,High,High
2024-05-27,2.587,29985415.76,2.7807665750175308,36107330.53571428,Upward,Low,High
2024-05-28,2.548,23764817.4,2.745952835857594,33658994.58714286,Downward,Low,High
2024-05-29,2.494,15875961.21,2.054180521840363,30547084.318571422,Downward,Low,High
2024-05-30,2.476,17164242.06,2.027983272247766,22259738.712857146,Downward,Low,Medium
2024-05-31,2.455,12184273.46,1.5330624328679927,19764330.23,Downward,Low,Medium
2024-06-01,2.475,6062194.84,1.4819146421345182,17765066.194285713,Upward,Low,Medium
2024-06-02,2.379,13552666.67,1.9846296727354225,16941367.34285714,Downward,Low,Medium
2024-06-03,2.402,13091435.73,1.6855902935597016,14527941.624285713,Upward,Low,Medium
2024-06-04,2.478,12770915.45,2.287781728125528,12957384.202857142,Upward,Low,Low
2024-06-05,2.524,12547562.92,2.2759281642922145,12481898.732857144,Upward,Low,Low
2024-06-06,2.484,8831218.76,2.3557378962901883,11291466.832857143,Downward,Low,Low
2024-06-07,2.262,32995707.84,4.168059850915662,14264528.887142856,Downward,Medium,Medium
2024-06-08,2.168,19033506.42,4.2135017843692975,16117573.39857143,Downward,Medium,Medium
2024-06-09,2.231,11690070.6,4.429260666205702,15851488.245714286,Upward,Medium,Medium
2024-06-10,2.187,10656982.5,4.369853151070488,15503709.212857142,Downward,Medium,Medium
2024-06-11,2.057,27125893.42,4.190129554680923,17554420.351428572,Downward,Medium,Medium
2024-06-12,2.146,25928453.72,4.696301953690454,19465976.18,Upward,Medium,Medium
2024-06-13,2.015,13716829.84,4.904571158503578,20163920.62,Downward,Medium,Medium
2024-06-14,2.004,21341765.46,4.130361137771937,18499071.70857143,Downward,Medium,Medium
